idiom,definition,group num,count M,count F,total,total,min,max,avg,idiom,tokens
graveyard shift,"a period of work, for example in a factory, that begins late at night and ends early in the morning",363,497,446,943,0.17579406,0.4430121,0.30940306,0.4244653284549713,2
man of his word,a person who does what he says and keeps his promises,545,104,49,153,0.17420705,0.39525813,0.28473258,0.35024937987327576,2
sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts",728,382,359,741,0.17408857,0.18932262,0.1817056,0.22485581040382385,2
the last straw,this is the latest unpleasant event and that you cannot tolerate the situation any longer,803,1455,2388,3843,0.17226335,0.18197867,0.17712101,0.2456551194190979,2
my heart sinks,to feel very unhappy and despondent,744,53,110,163,0.1697135,0.19547218,0.18259284,0.23704396188259125,2
coming apart at the seams,to be extremely upset or under severe mental stress,191,43,39,82,0.16644016,0.24835034,0.19897167,0.32687410712242126,3
pass muster,to be satisfactory or acceptable,628,234,114,348,0.16444167,0.23259163,0.19851665,0.2543410360813141,2
passes muster,to be satisfactory or acceptable,628,34,24,58,0.16444167,0.23259163,0.19851665,0.2543410360813141,2
screw around with,have many different sexual partners,717,559,334,893,0.16343723,0.29669055,0.23006389,0.3281840682029724,2
cry on my shoulder,to tell one's troubles to someone in seeking comfort or sympathy,950,37,62,99,0.16307624,0.26821542,0.21564582,0.28174319863319397,2
cry on his shoulder,to tell one's troubles to someone in seeking comfort or sympathy,950,7,46,53,0.16307624,0.26821542,0.21564582,0.28174319863319397,2
kick yourself,to be angry with yourself for something you have or have not done,483,322,314,636,0.16265044,0.29976147,0.23120596,0.3151358664035797,2
vicious circle,"when the solution to a problem creates another problem similar to the original, or makes it worse, so that the process starts all over again",862,449,618,1067,0.16161272,0.398139,0.27987587,0.36901676654815674,2
a shoulder to cry on,"someone who is willing to listen to your problems and give you sympathy, emotional support, and encouragement",951,393,729,1122,0.15815721,0.22373082,0.19094402,0.24963021278381348,2
make a go of,to succeed in your enterprise or produce good results,528,163,169,332,0.15671766,0.32405037,0.24038401,0.3104511797428131,2
making a go of,to succeed in your enterprise or produce good results,528,19,35,54,0.15671766,0.32405037,0.24038401,0.3104511797428131,2
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",566,2366,2651,5017,0.15458769,0.21467036,0.18472242,0.31282949447631836,3
